Lambda,Gamma,Mean_RMSE,Std_RMSE,Mean_CPU,Std_CPU
1.000000e-03,1.000000e-03,0.993790,0.002648,20.795831,3.873545
1.000000e-03,2.000000e-03,0.993786,0.002647,21.040717,4.105544
1.000000e-03,5.000000e-03,0.993773,0.002647,21.270008,4.169690
1.000000e-03,1.000000e-02,0.993758,0.002645,21.623381,4.182790
1.000000e-03,2.000000e-02,0.993747,0.002643,22.583640,4.619941
1.000000e-03,5.000000e-02,0.993858,0.002635,26.489778,6.032550
1.000000e-03,1.000000e-01,0.994460,0.002622,35.393210,11.186470
2.000000e-03,1.000000e-03,0.994152,0.002644,11.823362,2.141726
2.000000e-03,2.000000e-03,0.994146,0.002644,12.206235,2.951553
2.000000e-03,5.000000e-03,0.994131,0.002643,11.944524,2.610527
2.000000e-03,1.000000e-02,0.994112,0.002641,12.386397,2.817184
2.000000e-03,2.000000e-02,0.994094,0.002639,12.914017,2.857621
2.000000e-03,5.000000e-02,0.994187,0.002631,14.834376,3.422923
2.000000e-03,1.000000e-01,0.994768,0.002619,60.469127,134.656480
5.000000e-03,1.000000e-03,0.995363,0.002607,6.047659,2.695789
5.000000e-03,2.000000e-03,0.995356,0.002606,5.653465,2.757545
5.000000e-03,5.000000e-03,0.995338,0.002606,5.745042,2.934335
5.000000e-03,1.000000e-02,0.995315,0.002607,5.911677,2.890184
5.000000e-03,2.000000e-02,0.995286,0.002604,6.288353,3.020299
5.000000e-03,5.000000e-02,0.995349,0.002601,20.817472,42.731710
5.000000e-03,1.000000e-01,0.995878,0.002592,25.627352,42.490166
1.000000e-02,1.000000e-03,0.997562,0.002560,2.751091,0.261610
1.000000e-02,2.000000e-03,0.997554,0.002560,2.701474,0.213963
1.000000e-02,5.000000e-03,0.997533,0.002560,2.683912,0.217592
1.000000e-02,1.000000e-02,0.997508,0.002563,2.944180,0.517780
1.000000e-02,2.000000e-02,0.997470,0.002562,2.803343,0.417678
1.000000e-02,5.000000e-02,0.997520,0.002556,3.144312,0.541726
1.000000e-02,1.000000e-01,0.998013,0.002557,9.356177,18.123563
2.000000e-02,1.000000e-03,1.002482,0.002517,2.064584,0.195120
2.000000e-02,2.000000e-03,1.002469,0.002517,2.006191,0.184468
2.000000e-02,5.000000e-03,1.002434,0.002517,2.009021,0.190437
2.000000e-02,1.000000e-02,1.002383,0.002517,2.001419,0.186946
2.000000e-02,2.000000e-02,1.002306,0.002518,2.009018,0.182555
2.000000e-02,5.000000e-02,1.002269,0.002540,2.074333,0.076076
2.000000e-02,1.000000e-01,1.002636,0.002535,2.062623,0.072480
5.000000e-02,1.000000e-03,1.018945,0.002640,2.081031,0.089975
5.000000e-02,2.000000e-03,1.018914,0.002640,2.076676,0.125033
5.000000e-02,5.000000e-03,1.018829,0.002641,2.068630,0.085189
5.000000e-02,1.000000e-02,1.018713,0.002643,2.069470,0.094315
5.000000e-02,2.000000e-02,1.018542,0.002645,2.078084,0.074226
5.000000e-02,5.000000e-02,1.018228,0.002659,1.877882,0.281487
5.000000e-02,1.000000e-01,1.018229,0.002668,1.872191,0.278515
1.000000e-01,1.000000e-03,1.049138,0.002999,2.059182,0.082299
1.000000e-01,2.000000e-03,1.049053,0.003000,2.074496,0.088442
1.000000e-01,5.000000e-03,1.048841,0.003001,2.060828,0.082417
1.000000e-01,1.000000e-02,1.048587,0.003005,2.088948,0.105575
1.000000e-01,2.000000e-02,1.048247,0.003011,2.063174,0.078226
1.000000e-01,5.000000e-02,1.047502,0.003049,1.925943,0.232994
1.000000e-01,1.000000e-01,1.046768,0.003047,1.983594,0.179580
